id,name,province,district,subdistrict,phone,lat,lng,type,typeAdd,service,capacity,evaluationResult,status,resolved_location,detail
1,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกองลอย,เชียงใหม่,ฮอด,บ่อสลี,821684994,18.14822247,98.25037063,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFi",,ผ่าน,VALID_NO_DISTRICT,"บ่อหลวง, อำเภอฮอด, จังหวัดเชียงใหม่, ประเทศไทย",
2,งานสังคมสงเคราะห์ รพ.ส่งเสริมสุขภาพเชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53276856,18.7725153,98.9894236,อาคารสำนักงาน,,อื่นๆ,22,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
3,รพ.สต.บ้านสหกรณ์,เชียงใหม่,พร้าว,เขื่อนผาก,53475605,19.33707344,99.21754569,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",26,ผ่าน,VALID,"บ้านหม้อ, น้ำแพร่, อำเภอพร้าว, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอพร้าว
4,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบวกครก,เชียงใหม่,หางดง,หนองตอง,53464251,18.61771,98.948478,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",54,ผ่าน,VALID,"บ้านเกาะ, บ้านป่าลาน, หนองตองพัฒนา, อำเภอหางดง, จังหวัดเชียงใหม่, 50340, ประเทศไทย",district=อำเภอหางดง
5,อาคารผู้ป่วยนอก โรงพยาบาลสวนปรุง,เชียงใหม่,เมืองเชียงใหม่,หายยา,53908500,18.77997785,98.97909693,สถานบริการสาธารณสุข,,,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
6,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านต้นเกว๋น,เชียงใหม่,หางดง,หนองควาย,053-430-758,18.72433013,98.92623619,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, ห้องสุขา, ที่จอดรถ, WIFI",16,ผ่าน,VALID,"บ้านต้นเกว๋น, หนองควาย, อำเภอหางดง, จังหวัดเชียงใหม่, 50230, ประเทศไทย",district=อำเภอหางดง
8,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปางม่วง,เชียงใหม่,แม่แตง,สบเปิง,53111796,19.1065278,98.8323056,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",66,ผ่าน,VALID,"บ้านไร่, บ้านล้อง, แม่แตง, อำเภอแม่แตง, จังหวัดเชียงใหม่, 50330, ประเทศไทย",district=อำเภอแม่แตง
9,ศูนย์พัฒนาเด็กเล็กบ้านสันต้นดู่,เชียงใหม่,แม่อาย,ท่าตอน,883021211,20.0660366,99.431499,อาคารสถานพัฒนาเด็กปฐมวัย,,"ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"บ้านหาดชมภู, อำเภอแม่อาย, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอแม่อาย
10,โรงพยาบาลฝาง,เชียงใหม่,ฝาง,เวียง,53451444,19.91398,99.206088,สถานบริการสาธารณสุข,รพท.,,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านสันทราย, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
11,โรงพยาบาลศูนย์อนามัยที่ 1 เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53272256,18.78991391,98.97275845,สถานบริการสาธารณสุข,รพช.,ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ,26,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
13,โรงพยาบาลสันป่าตอง,เชียงใหม่,สันป่าตอง,ยุหว่า,825631950,18.5961651,98.88591701,ที่พักอาศัย,,WIFI,5,ยังไม่ได้ตรวจสอบ,VALID,"บ้านข่วงมื่น, บ้ากลางทุ่ง, ยุหว่า, อำเภอสันป่าตอง, จังหวัดเชียงใหม่, 50120, ประเทศไทย",district=อำเภอสันป่าตอง
15,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่หอย,เชียงใหม่,จอมทอง,บ้านหลวง,903300159,18.4886,98.67392,สถานบริการสาธารณสุข,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",16,ยังไม่ได้ตรวจสอบ,VALID,"บ้านน้ำตกแม่กลาง, บ้านหลวง, อำเภอจอมทอง, จังหวัดเชียงใหม่, 50160, ประเทศไทย",district=อำเภอจอมทอง
16,โรงพยาบาลจอมทอง,เชียงใหม่,จอมทอง,ดอยแก้ว,053341218-9,18.405645,98.673412,สถานบริการสาธารณสุข,รพท.,,,ยังไม่ได้ตรวจสอบ,VALID,"บ้านจอมทอง, จอมทอง, ดอยแก้ว, อำเภอจอมทอง, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอจอมทอง
18,โรงพยาบาลศูนย์อนามัยที่ 1 เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,53272256,18.77242123,98.99566099,สถานบริการสาธารณสุข,รพศ.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ",100,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
19,โรงพยาบาลส่งเสริมสุขภาพ เชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,053276856 ต่อ117,18.77293962,98.99500398,สถานบริการสาธารณสุข,อื่นๆ (รพ.สังกัดกรมอนามัยชนาด 60 เตียง),"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
22,คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,053-934-751,18.7898184,98.9741644,สถานบริการสาธารณสุข,อื่นๆ (โรงเรียนแพทย์ ),อื่นๆ,,ยังไม่ได้ตรวจสอบ,VALID,"เทศบาลนครเชียงใหม่, ฟ้าฮ่าม, อำเภอเมืองเชียงใหม่, จังหวัดเชียงใหม่, ประเทศไทย",district=อำเภอเมืองเชียงใหม่
24,เทศบาลตำบลยางเนิ้ง,เชียงใหม่,สารภี,ยางเนิ้ง,053321420 ต่อ 108,18.71830455,99.02755365,อาคารสำนักงาน,,"น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",160,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านดงสวรรค์, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
26,ศูนย์พัฒนาเด็กเล็กตำบลไชยสถาน,เชียงใหม่,สารภี,ไชยสถาน,811665970,18.73216203,99.04272017,อาคารสถานศึกษา,,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, อาหาร, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",50,ยังไม่ได้ตรวจสอบ,VALID_NO_DISTRICT,"บ้านต้นโชค, ยางเนิ้ง, ไชยสถาน, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
28,โรงพยาบาลฝาง,เชียงใหม่,ฝาง,เวียง,53451444,19.9142,99.2155,สถานบริการสาธารณสุข,รพท.,ห้องสุขา,105,ยังไม่ได้ตรวจสอบ,VALID,"บ้านใหม่ทรายทอง, สันทราย, อำเภอฝาง, จังหวัดเชียงใหม่, 50110, ประเทศไทย",district=อำเภอฝาง
29,โรงพยาบาลส่งเสริมสุขภาพตำบลนาคอเรือ,เชียงใหม่,ฮอด,นาคอเรือ,927392011,18.0694868,98.5485648,สถานบริการสาธารณสุข,รพ.สต.,"ตรวจคัดกรองกลุ่มเสี่ยง/สุขภาพ, น้ำดื่ม, ห้องสุขา, ที่จอดรถ, WIFI",83,ผ่าน,VALID_NO_DISTRICT,"บ้านหลังท่อ, บ้านห้วยฝาง, อำเภอฮอด, จังหวัดเชียงใหม่, ประเทศไทย",
30,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแฝก,เชียงใหม่,สารภี,หนองแฝก,834851584,18.6946981,99.0208325,สถานบริการสาธารณสุข,รพ.สต.,,33,ผ่าน,VALID_NO_DISTRICT,"บ้านหนองแฝก หมู่ 4, บ้านป่าเก็ดถี, หนองแฝก, อำเภอสารภี, จังหวัดเชียงใหม่, 50140, ประเทศไทย",
